iter	Passed	Remaining
0	156	156263
1	157	78516
2	158	52577
3	158	39582
4	159	31794
5	160	26602
6	161	22939
7	163	20230
8	163	18055
9	164	16297
10	165	14853
11	165	13649
12	166	12632
13	166	11758
14	167	11003
15	168	10357
16	169	9822
17	170	9304
18	171	8835
19	171	8411
20	172	8028
21	172	7682
22	173	7365
23	174	7076
24	174	6806
25	174	6555
26	176	6349
27	177	6167
28	178	5975
29	178	5787
30	179	5613
31	180	5449
32	180	5295
33	181	5150
34	181	5013
35	182	4882
36	183	4787
37	184	4681
38	185	4573
39	186	4469
40	186	4369
41	187	4275
42	188	4186
43	188	4102
44	189	4022
45	190	3959
46	192	3894
47	192	3822
48	193	3752
49	193	3685
50	194	3620
51	195	3557
52	195	3499
53	196	3444
54	197	3396
55	198	3352
56	199	3301
57	200	3249
58	200	3200
59	201	3152
60	201	3105
61	202	3061
62	203	3020
63	203	2983
64	204	2948
65	206	2916
66	206	2882
67	207	2846
68	208	2809
69	208	2772
70	209	2741
71	210	2713
72	211	2682
73	212	2656
74	213	2628
75	213	2598
76	214	2569
77	214	2540
78	215	2512
79	216	2485
80	216	2458
81	217	2433
82	217	2405
83	218	2383
84	219	2364
85	220	2342
86	220	2319
87	221	2296
88	222	2274
89	222	2253
90	223	2233
91	224	2212
92	224	2192
93	225	2173
94	226	2158
95	227	2140
96	227	2121
97	228	2103
98	229	2085
99	229	2067
100	230	2049
101	230	2031
102	231	2014
103	231	1997
104	232	1981
105	233	1968
106	234	1955
107	234	1940
108	235	1925
109	236	1909
110	236	1895
111	237	1881
112	237	1867
113	238	1853
114	239	1839
115	239	1825
116	240	1811
117	240	1800
118	241	1788
119	242	1776
120	242	1763
121	243	1750
122	243	1737
123	244	1725
124	244	1714
125	245	1702
126	245	1690
127	246	1678
128	246	1667
129	247	1656
130	248	1649
131	249	1639
132	249	1628
133	250	1618
134	250	1607
135	251	1597
136	251	1586
137	252	1577
138	253	1567
139	253	1558
140	254	1549
141	254	1539
142	255	1532
143	256	1524
144	257	1515
145	257	1506
146	258	1498
147	258	1489
148	259	1481
149	259	1472
150	260	1464
151	261	1456
152	261	1448
153	262	1440
154	263	1433
155	263	1427
156	264	1419
157	264	1411
158	265	1403
159	265	1395
160	266	1387
161	266	1380
162	267	1373
163	267	1366
164	268	1359
165	269	1352
166	269	1345
167	270	1339
168	271	1334
169	272	1328
170	272	1321
171	273	1315
172	273	1309
173	274	1303
174	275	1296
175	275	1290
176	276	1283
177	276	1277
178	277	1272
179	278	1269
180	279	1264
181	279	1258
182	280	1252
183	281	1246
184	281	1240
185	282	1235
186	282	1229
187	283	1223
188	283	1217
189	284	1213
190	285	1209
191	286	1204
192	286	1198
193	287	1193
194	287	1188
195	288	1182
196	288	1177
197	289	1172
198	289	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1148
203	293	1144
204	293	1139
205	294	1134
206	294	1129
207	295	1124
208	295	1120
209	296	1115
210	296	1110
211	297	1105
212	298	1101
213	298	1096
214	299	1093
215	300	1090
216	301	1086
217	301	1081
218	302	1077
219	302	1073
220	303	1068
221	303	1064
222	304	1060
223	305	1057
224	305	1053
225	306	1050
226	307	1048
227	308	1043
228	308	1039
229	309	1035
230	310	1032
231	310	1028
232	311	1024
233	311	1020
234	312	1016
235	312	1012
236	313	1008
237	314	1005
238	315	1003
239	315	1000
240	316	997
241	317	993
242	317	989
243	318	986
244	318	982
